,Favorites,Followers,Friends,Value
0,2066,884380,46716,Sun Mar 19 04:38:47 +0000 2017
1,2066,884414,46715,Sun Mar 19 10:40:47 +0000 2017
2,2066,884462,46715,Sun Mar 19 16:53:42 +0000 2017
3,2070,884467,46713,Sun Mar 19 18:10:45 +0000 2017
4,2070,884468,46713,Sun Mar 19 18:20:17 +0000 2017
5,2070,884472,46713,Sun Mar 19 18:35:23 +0000 2017
6,2070,884545,46710,Mon Mar 20 00:14:21 +0000 2017
7,2070,884546,46710,Mon Mar 20 00:18:04 +0000 2017
8,2070,884546,46710,Mon Mar 20 00:19:16 +0000 2017
9,2070,884589,46708,Mon Mar 20 04:58:40 +0000 2017
10,2070,884592,46708,Mon Mar 20 05:20:38 +0000 2017
11,2070,884606,46708,Mon Mar 20 06:59:46 +0000 2017
12,2070,884637,46708,Mon Mar 20 11:34:05 +0000 2017
13,2070,884619,46707,Mon Mar 20 13:08:23 +0000 2017
14,2070,884643,46707,Mon Mar 20 14:57:37 +0000 2017
15,2070,884678,46708,Mon Mar 20 18:15:34 +0000 2017
16,2074,884739,46707,Tue Mar 21 02:32:02 +0000 2017
17,2074,884806,46705,Tue Mar 21 11:40:12 +0000 2017
18,2074,884865,46705,Tue Mar 21 16:48:11 +0000 2017
19,2074,884920,46702,Tue Mar 21 19:57:10 +0000 2017
20,2074,884937,46703,Tue Mar 21 21:03:42 +0000 2017
21,2074,884996,46702,Wed Mar 22 04:35:16 +0000 2017
22,2080,885170,46701,Wed Mar 22 23:58:42 +0000 2017
23,2080,885205,46702,Thu Mar 23 13:51:44 +0000 2017
24,2086,885299,46703,Thu Mar 23 19:46:16 +0000 2017
25,2086,885326,46703,Thu Mar 23 20:48:58 +0000 2017
26,2086,885344,46703,Thu Mar 23 21:44:18 +0000 2017
27,2086,885361,46703,Thu Mar 23 22:52:11 +0000 2017
28,2086,885393,46701,Fri Mar 24 05:08:19 +0000 2017
29,2086,885417,46701,Fri Mar 24 11:40:54 +0000 2017
30,2095,885445,46700,Fri Mar 24 15:32:48 +0000 2017
31,2095,885458,46700,Fri Mar 24 16:08:19 +0000 2017
32,2095,885464,46700,Fri Mar 24 16:46:44 +0000 2017
33,2095,885499,46698,Fri Mar 24 19:45:26 +0000 2017
34,2095,885539,46698,Fri Mar 24 22:33:51 +0000 2017
35,2095,885556,46699,Fri Mar 24 23:39:31 +0000 2017
36,2095,885614,46697,Sat Mar 25 07:19:29 +0000 2017
37,2095,885613,46697,Sat Mar 25 07:40:42 +0000 2017
38,2095,885614,46697,Sat Mar 25 08:05:29 +0000 2017
39,2095,885616,46697,Sat Mar 25 08:12:51 +0000 2017
40,2095,885620,46697,Sat Mar 25 09:05:11 +0000 2017
41,2095,885663,46697,Sat Mar 25 14:02:39 +0000 2017
42,2095,885686,46697,Sat Mar 25 16:45:55 +0000 2017
43,2096,885716,46696,Sat Mar 25 18:54:35 +0000 2017
44,2096,885723,46697,Sat Mar 25 22:11:36 +0000 2017
45,2096,885727,46697,Sat Mar 25 22:49:53 +0000 2017
46,2096,885730,46697,Sun Mar 26 01:31:59 +0000 2017
47,2095,885614,46697,Sat Mar 25 07:19:29 +0000 2017
48,2095,885613,46697,Sat Mar 25 07:40:42 +0000 2017
49,2095,885614,46697,Sat Mar 25 08:05:29 +0000 2017
